id,genre,taille,age,masse,tour_hanche,tour_taille,tour_poignet
03_01,f,1.55,17,55,0.98,0.7,0.153
03_02,f,1.57,45,67,0.94,0.83,0.15
03_03,h,1.58,48,62.5,0.99,0.89,0.156
03_04,f,1.59,19,47.5,0.89,0.71,0.14
03_05,f,1.6,83,58,1.07,0.94,0.15
03_06,h,1.61,81,78,1.07,1.09,0.191
64_01,f,1.62,47,71.5,1.01,0.81,0.168
64_02,f,1.63,16,52.5,0.9,0.68,0.155
64_03,f,1.64,13,60,0.98,0.78,0.154
64_04,h,1.65,47,69.5,0.98,0.81,0.164
64_05,h,1.82,19,62,0.95,0.71,0.163
62_01,f,1.66,21,53,0.89,0.66,0.151
62_02,f,1.65,41,89,1.01,0.91,0.169
62_03,f,1.52,12,51,0.86,0.72,0.159
62_04,f,1.61,25,68,0.94,0.87,0.167
62_05,h,1.72,50,58,0.9,0.75,0.163
67_01,f,1.65,44,76.5,0.98,0.82,0.16
67_02,h,1.81,45,108,1.15,1.15,0.19
67_03,h,1.8,21,67.5,0.83,0.78,0.17
67_04,f,1.61,19,49,0.74,0.63,0.14
67_05,h,1.7,46,76.5,0.91,0.96,0.18
67_06,f,1.54,49,59.5,0.9,0.83,0.15
67_07,h,1.8,17,49.5,0.75,0.81,0.15
67_08,f,1.54,76,63,1.01,0.96,0.16
79_01,h,1.88,20,69,0.93,0.75,0.17
39_01,h,1.8,20,63.5,0.82,0.78,0.14
39_02,f,1.6,47,90,1.1,1,0.18
39_03,h,1.7,51,90,1,0.96,0.19
39_04,h,1.8,17,70,0.95,0.95,0.16
39_05,f,1.58,72,60,0.78,0.81,0.15
53_01,h,1.74,74,66,0.93,0.82,0.174
53_02,f,1.6,68,65,1,0.85,0.155
53_04,f,1.68,17,44.5,0.84,0.64,0.142
53_05,f,1.66,46,58.5,0.96,0.76,0.155
53_06,h,1.8,49,89,1.08,0.94,0.178
53_07,f,1.65,43,79,0.87,0.87,0.18
53_08,f,1.65,36,80,1.14,0.85,0.16
53_09,f,1.84,19,67.5,1.02,0.78,0.148
53_10,f,1.81,52,74.5,1.1,0.9,0.163
53_11,h,1.86,56,86,1.03,1.01,0.186
25_01,h,1.84,19,84,0.9,0.87,0.185
25_02,f,1.64,48,90.5,1.24,1.1,0.174
25_03,f,1.56,72,49.5,0.95,0.72,0.152
25_04,h,1.63,14,67.5,0.91,0.77,0.18
25_05,h,1.7,51,97,1.1,1.14,0.18
8_01,h,1.74,19,57,0.8,0.71,0.155
8_02,f,1.63,50,53,0.9,0.7,0.15
69_01,h,1.6,15,45,0.74,0.64,0.145
8_03,h,1.67,55,67,0.97,1.06,0.18
69_02,h,1.72,19,50,0.75,0.64,0.17
8_04,f,1.65,70,56,0.8,0.84,0.14
8_05,f,1.76,14,43,0.67,0.74,0.153
69_03,f,1.55,70,65,0.9,1,0.171
69_04,h,1.78,73,109,1,1.5,0.195
69_05,f,1.59,53,63,1.07,0.87,0.151
69_06,f,1.68,84,85,1.19,1.02,0.183
44_01,f,1.67,17,55.5,0.87,0.69,0.15
44_02,f,1.65,19,48.5,0.86,0.63,0.15
42_01,h,1.68,19,86,0.99,0.97,0.18
42_02,f,1.56,49,50,0.91,0.78,0.14
42_03,h,1.68,49,99,1.2,1.18,0.18
42_04,h,1.77,46,90,1.1,1.08,0.18
42_05,f,1.75,49,84.5,1.18,1,0.17
42_06,f,1.73,16,55,0.95,0.72,0.15
79_02,f,1.82,18,68,1.05,0.8,0.17
79_03,f,1.76,21,63,1.01,0.69,0.16
44_03,f,1.72,74,68,1.04,0.93,0.17
44_04,h,1.82,74,84,1.08,1,0.19
79_04,h,1.67,21,63,0.94,0.81,0.17
48_01,h,1.86,21,92,0.93,0.87,0.18
48_02,h,1.81,48,123.5,1.23,1.16,0.18
48_03,h,1.84,21,78,1,0.85,0.17
